timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1771216192814,66,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,66,0,1
1771216192835,51,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,51,0,2
1771216192868,35,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,35,0,2
1771216192884,41,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,41,0,2
1771216192965,25,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,25,0,2
1771216193044,21,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-12,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,21,0,1
1771216193089,23,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,23,0,1
1771216193113,25,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,25,0,2
1771216193129,33,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,33,0,2
1771216193151,33,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,33,0,2
1771216193380,17,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-16,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,17,0,1
1771216193384,58,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-6,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,58,0,2
1771216193394,55,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,55,0,1
1771216193429,56,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-11,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,56,0,2
1771216193426,71,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,71,0,2
1771216193435,79,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,79,0,3
1771216193466,73,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-9,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,73,0,2
1771216193503,44,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-13,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,44,0,2
1771216193471,115,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-10,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,115,0,1
1771216193546,48,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-17,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,48,0,1
1771216193523,93,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,93,0,2
1771216193605,44,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,44,0,7
1771216193676,21,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,21,0,2
1771216193679,26,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,26,0,2
1771216193711,24,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-18,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,24,0,2
1771216193713,69,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,69,0,1
1771216193770,31,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-9,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,31,0,1
1771216193784,237,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,237,0,2
1771216193969,242,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-12,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,242,0,1
